"HostName";"Version";"Manufacturer";"Model";"vCenterServer";"Cluster";"PhysicalLocation";"ConnectionState";"Notes"
"at-kl-esx01.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R720";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx02.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R720";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx03.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R720";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx04.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R720";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx10.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx11.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx12.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx13.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx14.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx15.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx16.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx17.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx18.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R660";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx19.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R660";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx20.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R660";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx21.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R660";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx22.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-kl-esx23.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"at-vk-esx01.kostweingroup.intern";"6.7.0";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"hr-tr-esx01.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"hr-tr-esx02.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Maintenance";""
"hr-va-esx01.kostweingroup.intern";"7.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"hr-va-esx02.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Maintenance";""
"in-ab-esx01.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R640";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"in-ab-esx02.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"it-ud-esx01.kostweingroup.intern";"8.0.2";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"us-gr-esx01.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R650";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
"us-gr-esx02.kostweingroup.intern";"8.0.3";"Dell Inc.";"PowerEdge R760";"at-kl-vcenter.kostweingroup.intern";;"Klagenfurt";"Connected";""
